project,url,sha
Hengle-CPPEngine-07371d0,https://github.com/Hengle/CPPEngine,07371d0
HewlettPackard-catena-01805b6,https://github.com/HewlettPackard/catena,01805b6
HorizonRobotics-nuplan-devkit-d0d36d9,https://github.com/HorizonRobotics/nuplan-devkit,d0d36d9
Igalia-wpe-android-c0498de,https://github.com/Igalia/wpe-android,c0498de
IndustryFusion-DigitalTwin-dbba35e,https://github.com/IndustryFusion/DigitalTwin,dbba35e
Intel-BMC-openbmc-ac27a50,https://github.com/Intel-BMC/openbmc,ac27a50
JCSadeghi-PyIPM-a90b227,https://github.com/JCSadeghi/PyIPM,a90b227
JanPalasek-fast-reflection-removal-1f98774,https://github.com/JanPalasek/fast-reflection-removal,1f98774
JeanExtreme002-FastSnake-a9ddbfc,https://github.com/JeanExtreme002/FastSnake,a9ddbfc
JoergFranke-ADNC-4a5dfa5,https://github.com/JoergFranke/ADNC,4a5dfa5
Jong-hun-Park-trviz-1267d17,https://github.com/Jong-hun-Park/trviz,1267d17
JonnyHaystack-i3-resurrect-bf7762e,https://github.com/JonnyHaystack/i3-resurrect,bf7762e
JuanVilla424-cazira-7441c96,https://github.com/JuanVilla424/cazira,7441c96
JuanVilla424-github-cicd-template-0be736e,https://github.com/JuanVilla424/github-cicd-template,0be736e
JuanVilla424-jhaniter-5fdde98,https://github.com/JuanVilla424/jhaniter,5fdde98
JuanVilla424-qzark-bfd21bf,https://github.com/JuanVilla424/qzark,bfd21bf
JuanVilla424-unkognito-1dd2e71,https://github.com/JuanVilla424/unkognito,1dd2e71
JuliaPelzer-Dataset-generation-with-Pflotran-c4a73e5,https://github.com/JuliaPelzer/Dataset-generation-with-Pflotran,c4a73e5
Julian-Borbeck-autoplier-bf06471,https://github.com/Julian-Borbeck/autoplier,bf06471
JuroOravec-djc-heroicons-8843822,https://github.com/JuroOravec/djc-heroicons,8843822
JuryA-landscape_api_py3-a8708ec,https://github.com/JuryA/landscape_api_py3,a8708ec
Juungle-juungle-python-c748636,https://github.com/Juungle/juungle-python,c748636
KOSASIH-Galactic-Chain-503c2aa,https://github.com/KOSASIH/Galactic-Chain,503c2aa
KaiStryker-ReCentiFi-134a5e9,https://github.com/KaiStryker/ReCentiFi,134a5e9
KajaBraz-ChatBox-4484f0f,https://github.com/KajaBraz/ChatBox,4484f0f
Keck-DataReductionPipelines-KPF-Pipeline-0931ac6,https://github.com/Keck-DataReductionPipelines/KPF-Pipeline,0931ac6
KengoWada-recommendation_system-7a3f891,https://github.com/KengoWada/recommendation_system,7a3f891
Kimho666-MXQ-077ae43,https://github.com/Kimho666/MXQ,077ae43
