project,original,b,c,c+,d
nickfox-taterli-yocto-imx6-custom,39.01,5134.73,591.64,644.15,264.24
coinkite-BBQr,363.0,3808.62,656.74,625.8,588.32
PythonFreeCourse-lms,49.5,655.45,312.42,344.48,277.0
liyapenggo-raspberrypi3-openbmc,36.9,4951.03,727.46,688.85,280.95
SudevShibu-prowler-s3-audit,36.84,1910.88,488.78,506.24,285.62
dev-at-rmfx-rmfx-resource-collector,35.36,1831.66,513.7,506.52,285.81
vragulin-Optimal_Exec_In_Comp,146.31,1437.91,491.47,515.62,401.45
punch-mission-regularizepsf,113.04,730.65,590.87,569.81,368.44
fat-forensics-fat-forensics,42.64,793.43,488.34,533.84,303.81
Haidra-Org-horde-safety,77.47,961.33,333.2,337.1,340.24
stephenmcd-mezzanine,12.21,1171.35,431.83,439.99,276.3
joaopcanario-imports,19.14,948.38,369.32,374.99,302.62
juftin-hatch-pip-compile,4.27,1070.33,781.3,817.67,294.25
jkwill87-mnamer,43.67,2393.88,505.01,635.46,342.66
sematicshood-Simontir-Flectra,10.5,1101.63,338.11,370.49,310.85
joshtemple-lkml,166.25,2203.57,876.95,758.95,477.96
GeoscienceAustralia-dea-waterbodies,4.49,356.59,321.06,326.02,323.24
couchbaselabs-couch-formation-core,231.22,1456.12,576.06,903.32,550.39
pyfar-spharpy,30.22,2080.85,755.98,739.3,356.64
mminichino-couch-formation-core,221.9,1460.76,587.48,949.99,559.46
XUANTIE-RV-xuantie-yocto,74.18,1775.69,1208.57,1136.13,416.53
mjwestcott-pypokertools,1.1,779.45,734.0,699.92,347.24
amenezes-async_metrics,3.55,597.67,411.98,407.12,352.0
aalvrz-zenoss-core-425,80.93,2573.4,779.13,921.11,432.45
oasis-open-cti-stix-slider,3.29,442.39,399.23,402.07,382.07
mkayeterry-recipe-urls,170.06,2129.93,863.28,939.55,565.64
rbignon-woob,5.12,4605.08,1319.29,1347.84,432.08
sopel-irc-sopel,33.64,2317.0,769.08,826.72,465.55
prowler-cloud-prowler,42.91,2627.96,956.19,1065.79,490.57
bwhmather-ssort,19.66,1531.15,1099.01,1102.94,542.24
ceonlabs-arcan-nixos-asahi,43.6,3175.02,1630.39,1767.51,574.2
codefortulsa-oscn,87.25,2125.08,1019.61,1090.25,631.79
ali92hm-cookiecutter-pyproject,72.04,2579.73,1014.41,993.52,641.73
copslock-Quectel_sc20_linux_sdk,59.93,7072.52,1639.57,1463.69,644.36
npnet-QuectelShare,63.31,7378.02,1687.6,1687.57,665.95
randcd-APY-QuectelShare,62.64,6787.96,1688.05,1546.96,704.12
dbcli-pgcli,85.55,3500.0,1302.69,1300.46,741.23
kercre123-vic-yocto,83.15,9641.44,1990.98,1871.05,744.52
ezhov-evgeny-webdav-client-python-3,81.59,2498.43,1944.49,1917.28,756.67
DIAGNijmegen-picai_eval,62.79,1978.95,1450.34,1496.19,748.36
Yu-Group-imodels-experiments,15.47,1064.68,945.02,910.42,721.68
databendcloud-dbt-databend,1.81,672.36,788.88,756.63,732.33
fedora-infra-fedocal,4.33,1859.92,1213.43,1122.65,759.44
pyca-cryptography,131.21,10438.7,1745.68,1629.12,986.6
ceccopierangiolieugenio-pyTermTk,5.81,2540.49,1867.03,2012.93,915.21
keurfonluu-stochopy,17.38,3886.55,1123.72,1150.15,953.26
vhoogelander-BMI_HBVmountain_streamflow_analysis,39.92,12314.57,2401.03,2384.74,1021.53
pdyba-lambdalizator,9.61,3545.05,3537.05,3400.99,1150.43
yzhao062-combo,74.81,5491.32,2838.46,4589.49,1245.65
Team-P4RROT-P4RROT,1.53,1387.3,1332.18,1341.56,1298.61
JeanExtreme002-FastSnake,15.56,9801.22,1126.84,1184.92,1671.25
ldv-klever-klever,10.11,5443.73,4078.27,4418.55,1814.19
ClusterHQ-gentoo,167.01,15919.13,5586.73,5555.05,2012.63
planetarypy-pvl,16.59,10641.81,6888.37,5083.27,2089.06
SoCo-SoCo,19.38,6236.81,4569.96,4746.93,2326.71
jgressier-cfdtools,25.05,9109.97,4532.39,4499.35,2537.44
Amsterdam-signals,25.49,3108.32,2851.49,2955.83,2674.07
benoitc-gunicorn,27.67,4651.86,3822.63,3693.14,3828.66
Appdynamics-OSS,86.94,17272.45,12322.42,12085.66,4174.78
jerrymakesjelly-autoremove-torrents,14.59,6438.28,4032.51,4435.49,4164.81
